longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value
-122.7141,39.875,19,11000,2268,3365,1375,12.116,232596.33
-116.9617,41.2132,44,5140,1238,2755,1285,5.8281,32149.46
-120.4536,35.0664,39,2748,848,2946,916,9.4011,242129.09
-119.9916,36.5488,3,5505,1901,3319,1101,9.8904,161309.87
-119.0561,38.6304,6,3870,984,2167,645,7.4254,22991.83
-122.858,33.7425,20,7092,1907,4331,1773,1.1921,84648.57
-123.2694,36.5384,7,8008,2422,3222,1001,5.6541,124876.69
-118.4709,39.773,2,2264,662,642,283,3.142,14999
-115.5474,35.3409,38,9192,2838,4097,1532,12.2136,231332.3
-120.923,41.1794,52,1732,366,1351,433,9.2588,136711.56
-118.9849,32.595,8,308,89,207,77,6.3738,150159.9
-117.7465,39.5434,47,5230,1491,3620,1046,5.7306,31772.71
-120.3842,35.388,9,978,207,1051,326,10.5925,173835.04
-122.4603,32.7923,31,5512,1600,3656,1378,9.5779,265713.61
-121.3288,36.9008,31,2742,547,3065,914,11.2123,203950.55
-119.8795,37.1043,2,10860,3035,4166,1810,8.7567,149481.78
-124.2709,38.4722,46,5604,1817,2900,934,9.1397,180493.81
-118.7848,35.2762,32,5208,1391,2679,868,14.0616,334282.3
-122.0217,33.1112,2,6398,1495,1915,914,13.4467,281550.99
-120.1619,36.9941,32,10600,2532,4036,1325,0.8017,14999
-120.8978,34.7241,15,10024,2382,3637,1253,12.7158,293181.47
-117.7541,33.7742,19,12240,3015,4016,1530,14.1474,277563.25
-119.6079,41.6766,11,5292,1206,4132,1323,10.1723,83461.12
-123.0539,34.4171,39,3171,998,3609,1057,7.659,210523.83
-114.3174,35.9162,17,6248,1293,2531,781,13.4696,257785.22
-124.029,33.1391,28,1981,432,804,283,7.5523,278741.21
-116.6255,39.7866,36,2388,776,1976,597,9.2622,103355.49
-123.3044,33.0145,29,10116,3476,5283,1686,14.6326,372499.65
-115.7318,33.4986,36,945,187,397,135,13.1276,229588.69
-115.2037,34.0177,19,9000,2785,4121,1500,13.1221,265445.57
-116.1256,33.6973,13,5694,1769,1907,949,12.6048,271665.22
-119.5944,35.2384,11,1120,272,701,224,5.7293,105507.63
-116.7848,36.5084,15,1992,498,867,332,7.1519,88383.16
-115.792,40.0173,24,5946,1517,6253,1982,10.9056,110862.4
-120.9534,36.3195,50,2316,441,1211,386,10.0726,214047.18
-117.9097,41.0326,4,10744,3393,4450,1343,14.6036,133229.49
-117.3141,40.7601,47,7855,2628,3160,1571,4.5568,38092.29
-119.051,41.2014,45,5262,1523,2921,877,9.5532,90072.07
-120.8837,40.1793,42,3512,1158,1866,878,8.2928,95318.66
-120.4345,39.3047,9,7805,1781,2385,1115,8.5009,64410.54
-122.7433,32.8025,51,8085,1810,3751,1155,4.9072,172807.85
-120.1056,37.2946,47,860,192,474,172,2.2953,39775.88
-119.8447,37.9266,1,4890,1697,3137,978,14.8405,181780.78
-118.6714,40.9557,41,9884,3198,3319,1412,4.8384,14999
-118.5994,33.8571,25,8912,1979,2775,1114,8.9444,150548.14
-116.0887,35.9395,7,2800,706,916,350,1.8376,14999
-122.1936,33.2747,44,6762,1893,3131,1127,6.2243,198114.08
-121.7025,37.234,28,7608,2573,2600,951,14.6125,294853.23
-123.0737,39.2319,9,10444,3412,3248,1492,3.5833,23295.36
-119.5975,39.5645,36,2418,682,2106,806,2.2526,14999
-122.8108,36.0355,24,3355,881,2138,671,2.561,67424.91
-118.4302,32.9978,20,9350,2025,6037,1870,7.5875,200194.31
-115.6109,36.4694,37,4788,1230,1714,684,5.9709,101074.37
-115.972,40.385,9,6440,1711,4333,1610,7.024,14999
-121.0848,40.0662,43,7962,1957,4445,1327,5.4155,82426.72
-123.89,38.8489,29,7785,2256,5136,1557,10.7545,155853.39
-117.2477,37.8194,8,9576,1862,4696,1368,8.3566,84436.46
-116.7435,41.5481,34,2622,696,886,437,10.0447,19315.84
-121.5894,34.4766,46,12376,3162,5675,1768,9.2994,215275.18
-120.3159,32.9633,2,4476,943,1518,746,8.1546,188502.66
-114.5129,37.6381,19,1376,307,734,344,4.9485,34852.48
-120.2609,34.1321,40,2864,528,1494,716,6.1541,145999.31
-121.0949,36.0736,8,624,137,451,156,3.9291,104245.02
-119.2434,37.2866,8,1803,422,1700,601,1.4491,35439.41
-115.1761,32.7152,36,10000,1972,3930,1250,9.9475,221308.99
-123.0893,37.8872,29,1768,468,701,221,2.5643,30570.68
-121.8886,41.5041,36,2925,526,2629,975,12.5259,182488.88
-121.4459,41.6873,1,1038,235,411,173,10.36,177631.07
-122.2139,40.4508,19,572,174,406,143,4.8593,43360.47
-120.3811,33.6972,9,10738,3756,5088,1534,3.5573,45265.33
-115.4753,41.4363,41,4680,1202,1385,585,14.7538,182198.79
-120.92,36.8667,39,2166,726,1588,722,13.8727,275159.31
-124.2538,34.173,36,15064,4512,5919,1883,8.3029,229738.79
-116.4455,38.648,5,3459,1147,3717,1153,6.9551,116746.46
-120.5712,38.1983,25,3296,1144,901,412,5.872,143705.9
-122.4124,32.6281,48,450,133,275,90,3.2769,162418.22
-116.2335,34.621,32,2379,541,2661,793,10.751,169134.18
-122.2508,34.3852,41,2583,846,2456,861,7.6632,160247.23
-118.6703,38.9612,37,1227,343,1275,409,2.3477,14999
-114.977,40.5901,34,7710,1639,4652,1542,14.8833,178651.29
-121.8107,37.8107,30,324,93,184,54,1.252,14999
-114.9249,36.6103,27,1833,541,1649,611,5.7413,68097.17
-122.0955,35.1553,27,6840,1598,2950,1140,5.3532,73853.52
-115.5138,40.1402,48,4096,1032,1081,512,4.1248,14999
-118.065,33.4502,31,2802,786,2745,934,5.3474,153452.02
-121.8359,33.5548,16,2241,716,2076,747,3.9328,160443.78
-119.9472,33.4403,29,3705,720,2582,1235,0.9835,76103.07
-121.2047,40.5168,5,6608,1259,5292,1652,1.2944,14999
-123.3277,33.065,4,3918,972,1910,653,6.4611,167420.71
-115.6696,39.9501,40,426,104,226,71,13.2591,157275.0
-114.9366,39.9074,30,5545,1552,2397,1109,0.6782,14999
-117.1885,38.1191,13,13314,2681,5255,1902,5.6532,14999
-122.4833,33.8355,3,692,161,459,173,14.4162,333029.85
-116.7761,35.4683,35,6552,1343,4034,1638,5.4721,92530.63
-118.4621,38.9228,4,3752,1197,1521,536,1.2918,14999
-120.8981,41.729,41,7640,2395,4798,1910,10.184,102530.08
-118.3284,35.6561,38,6045,1721,3177,1209,2.8531,14999
-119.7888,39.9663,3,4260,1433,3150,1065,10.5517,117035.6
-119.5233,39.7702,22,13624,3322,4428,1703,12.4782,190532.67
-124.2825,32.6331,23,777,155,270,111,3.3188,104771.7
-123.9092,32.8193,13,2524,548,1509,631,3.0271,105826.74
-115.8408,34.8545,13,376,121,316,94,0.8044,14999
-116.4444,33.5842,14,4044,893,2166,674,10.0832,176165.48
-114.9007,41.7345,40,11130,3665,3891,1855,2.5943,14999
-122.4255,36.0988,24,4907,1241,2070,701,13.8547,268520.4
-116.6887,38.0667,35,2608,614,1356,652,12.0364,227604.35
-114.6274,40.8757,14,4617,1446,4904,1539,9.4159,23215.91
-122.669,36.1922,42,11116,2708,4412,1588,3.0955,78824.83
-119.4977,41.5336,31,4193,1040,2025,599,8.9677,58213.87
-123.9825,34.6057,13,3900,964,2397,975,13.3863,249703.55
-120.594,37.7207,9,4767,1097,4414,1589,3.8376,15739.8
-123.9369,37.3604,22,5532,1435,2409,922,12.1653,239356.63
-122.5472,34.74,42,1025,341,500,205,7.7756,228667.73
-118.8616,33.2755,18,7788,1532,4102,1947,1.0551,53960.73
-121.0444,35.3886,50,7245,1538,4210,1449,2.499,97398.99
-115.7658,39.2793,35,9590,1740,4697,1918,12.4235,175212.15
-120.2762,37.9974,42,444,129,257,74,14.2966,235327.63
-115.6607,34.6815,47,6336,1651,4393,1584,11.8966,234794.52
-119.7175,39.9919,21,7128,1802,6081,1782,6.5565,17509.61
-119.9456,40.5662,2,3268,909,1791,817,14.1786,256252.06
-115.9736,35.7377,27,7368,2268,2895,921,10.5125,184799.14
-121.3416,38.0632,37,4974,1675,3698,1658,14.3132,250114.68
-118.2959,38.2597,26,3320,1133,1739,830,6.1033,110569.03
-119.5832,35.6344,29,6790,1329,2928,1358,8.5171,217917.24
-119.4443,34.2968,5,11496,2623,4501,1916,10.0638,220052.35
-123.6474,33.0806,34,288,67,242,72,6.171,215132.7
-120.1491,39.533,25,7600,1535,4386,1900,6.7669,81005.15
-117.2249,37.0077,39,6135,1717,3378,1227,10.4301,176202.0
-122.9174,33.142,26,5152,1387,4334,1288,13.249,333809.61
-119.7295,37.9614,48,1180,342,797,236,5.5283,118223.6
-120.4235,40.2885,12,3600,757,2633,900,6.7651,21929.8
-120.488,38.7419,45,3642,899,4150,1214,3.9756,67273.2
-118.044,35.2867,5,11832,3582,3439,1479,7.6556,119226.86
-114.3864,37.7421,24,618,164,652,206,6.4464,66316.88
-123.9019,32.7914,41,11776,3620,3785,1472,11.3164,329766.37
-115.758,36.2727,1,1689,507,1241,563,10.2193,120326.47
-123.5212,38.7226,46,11970,2440,6445,1995,12.7027,257818.69
-122.6373,32.71,7,2060,414,1282,412,2.9426,116664.82
-121.6065,36.6866,12,3944,733,1485,493,3.6344,63274.6
-117.3547,40.4115,52,8960,2621,3348,1120,1.9905,14999
-118.344,32.9979,25,6484,2190,4152,1621,3.9588,79211.71
-123.4325,36.508,1,2960,874,1550,740,14.4018,341183.4
-117.6823,39.3529,3,6307,1250,2244,901,8.6498,124165.22
-122.4469,34.489,35,5154,1033,1993,859,5.6704,173196.92
-121.1749,36.2022,30,1500,437,1208,500,9.5467,225291.86
-123.9089,40.8722,27,4669,1236,2324,667,10.8317,191703.06
-118.6352,34.9108,7,6390,2216,3890,1278,10.3296,135975.62
-114.5874,39.0679,22,3272,1012,1239,409,14.6813,195680.14
-124.1728,41.1229,29,5831,1684,1956,833,9.0183,127701.14
-114.4267,34.7288,40,4812,1118,4983,1604,11.4801,202384.95
-120.5898,35.3311,10,3276,947,1930,819,11.017,218883.64
-114.4249,36.7155,22,1620,379,1030,324,1.0743,14999
-116.1904,39.6027,15,14272,3372,4216,1784,8.32,45386.66
-115.2474,38.7977,16,13528,4036,3946,1691,13.1542,158166.04
-118.027,33.148,32,772,145,673,193,14.105,308526.28
-123.0894,34.1743,36,7008,1542,3709,1752,11.0123,258274.57
-121.891,34.2003,16,3350,931,2312,670,3.4203,148976.42
-115.6912,37.0678,24,5190,1082,2302,865,7.8267,99251.8
-116.1212,40.0074,2,9660,2440,3421,1610,13.6436,118250.36
-121.3357,37.595,36,6152,1376,4145,1538,7.0772,103324.1
-123.6277,33.8259,31,1800,604,902,450,12.994,351940.15
-117.0171,36.0618,26,11670,3966,6721,1945,5.9106,49569.89
-118.4434,36.3867,3,5811,1426,5517,1937,3.3163,38390.07
-119.9696,34.942,49,7645,2038,4178,1529,10.4831,221420.63
-115.0478,39.4626,16,3084,1038,2613,1028,10.7451,76261.31
-124.0663,38.804,10,4095,1054,1767,585,4.1872,14999
-115.9012,32.6561,50,1912,575,615,239,10.738,198902.39
-114.5696,33.2961,13,11064,2303,4868,1844,10.5316,163215.96
-115.448,38.055,47,7136,2339,1930,892,8.8029,118166.5
-116.3428,40.2019,18,6332,2140,4110,1583,4.9675,57115.31
-124.3342,33.1972,45,6335,1589,2201,905,6.7488,215693.77
-122.5789,34.294,9,2730,575,1557,455,7.0346,184978.82
-123.7578,34.2595,49,2210,767,1461,442,6.8906,186807.29
-115.1838,33.5675,41,1170,268,1000,390,4.5131,72929.06
-119.5519,38.8711,7,207,46,236,69,10.1472,179124.72
-116.4264,32.9339,14,3357,818,3110,1119,14.4498,295960.93
-116.7506,38.2271,22,6472,2144,2830,809,12.3443,218920.92
-114.9024,38.7984,25,3900,1348,4302,1300,12.1909,220212.08
-120.3158,40.4013,9,714,143,285,102,14.2904,213990.55
-116.8055,34.8787,29,10528,3074,3570,1316,6.4903,154943.61
-114.7362,40.1867,2,6735,2212,4653,1347,11.1693,186674.24
-117.5436,34.7378,32,6952,1975,1844,869,6.7048,198394.11
-114.4418,40.6053,7,9318,2142,3560,1553,2.5758,14999
-119.1287,37.9215,46,3249,655,3460,1083,4.8696,53008.15
-115.5672,34.1214,29,1716,502,675,286,3.5688,31083.41
-116.7873,38.7482,6,1596,556,543,266,13.9706,187844.48
-121.5352,39.3074,43,8200,1647,2258,1025,8.2509,161351.47
-117.0668,33.3911,45,2924,989,2302,731,9.2099,190331.29
-117.1469,39.4658,25,11112,3483,4791,1389,6.836,37461.34
-122.007,34.9781,19,687,134,712,229,14.0896,308172.55
-120.6579,40.5698,25,9848,1775,2576,1231,8.2662,85643.92
-115.8449,41.7604,21,8145,2570,5540,1629,2.3315,14999
-123.2799,32.6265,30,2788,888,1704,697,3.6741,116967.31
-117.523,33.9273,19,2784,816,1114,348,10.693,199665.38
-114.407,33.7018,46,7350,2111,2846,1225,4.7267,78252.3
-114.6464,33.0934,52,2928,939,1695,732,11.1235,252500.91
-123.8222,40.6837,12,10824,3286,4417,1804,12.3177,155413.36
-115.1897,34.038,2,7032,1669,3535,1172,14.8596,276587.35
-119.0504,35.2034,45,7760,2321,5474,1940,1.9111,21228.31
-121.1029,39.9859,52,1280,296,477,160,8.8688,106249.17
-115.3419,34.5139,52,6328,1930,3185,1582,11.0264,229850.05
-118.5702,38.923,10,4926,1455,1849,821,1.3168,14999
-114.8616,33.6442,33,6905,1939,4770,1381,9.5911,215340.35
-120.2939,32.8599,16,5172,1197,2494,862,3.0011,101910.28
-114.3987,38.8516,6,9852,3221,4885,1642,4.4906,14999
-117.7919,35.9965,8,864,173,853,288,13.6729,252101.74
-114.437,37.0521,45,4728,1489,3580,1576,7.5208,138025.48
-117.8782,36.6207,37,918,215,939,306,13.0021,208515.96
-117.3146,36.2456,35,11578,3045,4595,1654,8.9785,150760.4
-117.184,39.9745,8,6372,2193,5330,1593,3.1196,14999
-118.7806,40.0728,8,520,144,387,130,1.7734,14999
-121.7721,39.6264,6,2135,492,1052,305,2.9882,52046.8
-121.8567,32.9744,34,9510,2777,5073,1902,8.8675,234285.63
-117.3712,37.4583,23,9037,2411,3914,1291,10.1079,164638.68
-122.9277,40.5958,14,2268,621,935,324,4.5222,40205.37
-117.0298,36.5112,36,2860,700,1919,572,6.3009,118491.72
-120.0796,39.0754,35,1401,402,1122,467,9.6802,163087.78
-117.8685,39.2629,37,11168,3568,4058,1396,6.5855,123660.25
-119.9964,32.7838,39,1668,376,1555,556,10.4177,339129.77
-120.2659,35.6393,6,3965,1238,1760,793,12.0724,235969.28
-114.516,34.6311,7,4959,1040,5111,1653,4.945,78533.0
-116.1037,37.1473,34,6112,1694,1851,764,4.4303,50868.03
-121.1573,39.6151,12,6048,1785,2406,756,8.4992,122499.87
-115.4945,36.3289,38,1555,282,861,311,2.7546,39635.84
-116.9664,33.0375,47,6795,2040,3225,1359,9.3262,237069.98
-117.2539,34.263,23,10110,2682,4067,1685,6.7026,193472.0
-116.1772,35.4118,6,9950,2478,4913,1990,1.807,14999
-123.5521,39.4089,6,2716,515,1208,388,8.5353,75946.92
-114.6899,36.5297,33,15672,3184,5380,1959,10.4343,163503.66
-117.5552,37.55,8,2640,751,2962,880,11.3158,163075.44
-116.8233,34.8382,48,9828,2911,2897,1404,7.0055,96582.88
-122.6579,41.293,49,4488,941,2861,1122,2.4331,14999
-119.3751,34.1443,8,5936,1320,2084,742,11.613,252822.39
-123.1666,35.3553,19,2368,427,1744,592,6.2075,215764.24
-114.7203,37.3911,3,11790,3911,6430,1965,1.3337,14999
-124.2909,36.8719,20,2322,419,2581,774,3.1993,72767.03
-119.4099,33.3374,33,7560,1888,6368,1890,0.6002,60705.14
-116.6247,34.8938,31,4295,991,2269,859,3.1416,59350.12
-119.9467,40.4384,11,1680,515,674,336,13.3119,177406.48
-117.2294,33.5814,19,528,130,411,132,13.5645,291579.43
-119.5379,38.7999,18,1758,462,803,293,10.3852,173903.41
-123.0706,39.6078,50,11130,2952,6279,1855,12.7244,224857.74
-123.2669,32.739,10,5278,962,2282,754,1.2546,100442.58
-116.0184,36.5831,39,4680,1187,3797,1560,7.546,117369.8
-122.8189,37.3508,16,1875,612,2182,625,4.0866,55437.36
-116.1111,34.4071,46,4959,1483,4551,1653,3.1272,104408.86
-117.9798,34.6985,9,2613,591,1993,871,2.62,44383.7
-124.1727,34.4186,4,4968,1337,2525,828,14.7118,344915.78
-123.734,36.5588,4,2019,455,1629,673,5.5899,152406.48
-120.1525,35.5497,4,1266,227,1262,422,5.1638,93896.9
-118.2605,36.5948,17,11952,2890,4893,1992,1.9049,33488.56
-124.2128,37.7321,9,3640,1113,1850,728,11.7927,205631.64
-117.8215,34.5164,25,684,138,709,228,2.2451,43012.64
-118.4609,41.1236,42,6896,1467,4600,1724,1.9302,14999
-121.3232,37.0022,49,3241,980,956,463,3.2797,56747.91
-118.823,34.9163,49,12579,4349,6006,1797,7.003,143952.0
-123.6702,36.4828,33,5007,1043,4024,1669,14.5286,250611.95
-121.4419,41.5341,4,13408,2846,5399,1676,7.6779,34816.23
-123.5971,36.6592,33,5852,1828,2174,836,4.4367,102826.64
-122.502,34.0456,14,10096,1832,4281,1262,7.9355,153148.94
-121.7513,40.5618,19,7500,2053,3384,1500,1.1614,14999
-121.9583,32.9078,10,9895,3340,4760,1979,11.964,278124.54
-116.083,37.5705,1,6890,1981,4765,1378,5.2061,18017.75
-114.8479,40.8583,17,6112,1524,4457,1528,5.2072,36212.0
-116.0777,34.6034,18,2055,709,1153,411,14.6921,297845.32
-116.537,39.8846,7,12232,3632,5226,1529,4.2315,14999
-122.2802,36.701,21,2400,669,1926,600,11.417,203456.84
-122.7874,34.7205,47,4690,962,2549,938,7.6914,151441.04
-122.5819,37.9005,47,3352,764,1032,419,13.3362,282295.26
-116.1423,39.0081,13,768,147,454,192,13.6824,203715.17
-119.0611,39.3789,52,518,102,190,74,2.0955,14999
-124.2139,40.3552,3,1280,397,768,320,14.1097,194969.22
-124.2557,39.9895,35,7785,2529,3312,1557,2.5188,14999
-116.7229,40.9374,11,3395,887,1606,679,8.3811,54731.01
-124.1371,32.959,35,1971,526,2138,657,2.5566,170693.86
-115.1918,32.7658,28,3356,805,2038,839,13.8645,269030.15
-117.1729,41.0242,32,1191,259,1363,397,4.5863,14999
-123.584,35.6804,24,5820,1933,5639,1940,3.082,53257.78
-117.5285,33.9536,43,7285,2085,3541,1457,13.1933,274563.75
-121.6282,37.2379,24,9800,3114,6011,1960,1.6074,94370.09
-122.8576,38.7116,21,2112,540,1124,352,14.6569,272779.91
-116.1709,33.6049,28,7690,1573,3821,1538,2.3493,55355.8
-119.3882,37.0689,27,10256,2427,4106,1282,9.9823,150411.88
-121.8811,36.4796,32,8071,2128,3233,1153,3.8367,127707.36
-119.0595,39.8477,52,6328,1895,3722,1582,0.5416,14999
-114.3712,32.7014,36,4080,1373,2131,1020,5.5655,154780.48
-116.1271,35.3131,10,12320,4252,5930,1760,4.0162,14999
-116.0387,33.0657,9,2320,695,744,290,0.882,48686.12
-117.3079,38.7765,5,7182,2355,2098,1026,5.796,34911.17
-123.5569,33.2652,37,10512,2159,3983,1752,11.2816,299056.65
-121.3429,36.4124,22,7672,2287,2330,959,2.7604,14999
-115.5032,32.8422,49,2835,587,1050,405,6.6425,186030.47
-117.2075,34.9683,37,5385,1618,2838,1077,2.7736,42557.97
-114.5799,37.4473,9,6284,1558,3273,1571,6.1882,85240.19
-118.275,33.2665,45,6054,1412,2989,1009,12.4952,212032.27
-122.6952,40.0994,42,3672,829,1979,918,5.7592,87135.34
-121.9451,34.0716,7,732,206,573,183,4.9822,106951.25
-118.811,38.5472,3,2710,526,1547,542,1.1507,14999
-123.8676,33.4171,20,335,103,230,67,7.7531,217822.06
-121.1927,36.2159,23,2520,742,786,315,13.4994,238366.74
-116.5684,32.7629,51,4992,1396,2727,832,4.7067,125941.09
-122.8286,36.8978,41,1928,422,559,241,10.3812,253536.24
-114.3761,37.2602,47,10368,2788,4086,1296,6.9885,122348.5
-123.0328,35.2768,40,10812,2019,5530,1802,10.4017,256137.26
-118.257,41.5549,37,8010,1574,2699,1335,11.6116,241509.91
-121.2422,40.7035,52,4950,1310,4425,1650,2.9609,14999
-118.5618,35.8652,5,3328,1035,992,416,7.3623,137075.37
-121.7795,40.7894,42,7768,2639,6714,1942,7.5798,84863.62
-120.2433,38.3712,44,1884,456,1025,314,14.3047,279123.25
-120.5982,38.9595,33,4855,1598,3385,971,1.1188,14999
-116.4125,39.1246,36,264,85,160,66,2.794,14999
-120.3412,33.2267,25,11040,3243,4643,1840,7.2931,134630.11
-123.2544,34.2364,7,11568,3592,4432,1928,5.2664,135191.85
-121.1645,41.9165,32,3880,1187,1053,485,7.0914,14999
-122.889,34.5488,37,798,248,238,114,12.2237,273430.28
-116.4228,41.7483,14,640,209,548,160,10.4132,81118.99
-123.5107,33.1917,26,1085,356,580,217,6.586,243231.59
-122.2004,40.9438,12,5250,1027,5866,1750,5.4593,44991.14
-120.8433,36.4837,31,9168,2871,3951,1146,6.8334,119674.25
-115.1875,37.9067,1,8386,1792,3694,1198,8.8881,124404.37
-116.082,39.4503,48,7755,1414,5187,1551,14.0404,242656.93
-119.3356,35.5174,51,8580,1927,4409,1430,14.8295,365496.2
-117.9817,38.5522,38,747,162,863,249,6.5926,61785.08
-118.8673,34.103,25,2460,530,1125,492,10.3546,252696.38
-120.6975,35.3813,20,3234,966,3205,1078,7.112,145069.43
-120.2297,35.8543,35,6454,2230,2308,922,13.9321,258136.86
-118.8004,34.0706,28,4155,1344,2520,831,6.8437,163635.89
-121.5062,38.3777,7,687,134,463,229,14.0212,286029.17
-118.0868,37.6659,41,6713,1871,1964,959,4.7036,90562.57
-120.1268,34.6373,30,7074,1411,3872,1179,14.283,276615.92
-119.692,41.0842,42,11928,2949,5083,1491,11.8418,208113.93
-119.2541,35.0582,43,2955,953,1886,591,6.5134,149343.86
-120.1879,32.6861,10,8340,2693,4634,1668,11.2481,331488.22
-121.1626,34.1436,37,3720,1021,2405,930,9.4359,222713.8
-114.9933,36.5779,41,6792,1423,2849,849,8.0005,123853.23
-119.9585,33.477,52,2156,431,882,308,6.1842,178306.8
-115.9431,34.0367,21,1401,274,1240,467,9.619,119190.77
-118.3934,32.8018,46,3489,967,2370,1163,11.1455,309361.0
-116.543,34.2955,42,7552,1740,5292,1888,4.0562,81608.1
-116.5185,39.9367,50,4664,880,1238,583,2.5847,61682.06
-115.6459,33.5839,39,903,184,720,301,3.1191,81867.78
-123.5731,40.4879,14,2550,671,1727,850,1.5669,14999
-117.4491,36.0711,21,8082,2565,3057,1347,0.647,14999
-122.5561,37.8782,39,5400,1079,4525,1800,5.5284,148934.55
-124.2997,37.4497,17,5841,1242,3980,1947,0.8341,22537.05
-119.2121,33.9736,24,1140,210,629,285,1.7099,50691.44
-121.6024,34.4148,6,6104,1670,1862,763,11.3053,237134.14
-119.3722,37.3641,26,7752,1724,4451,1938,12.7675,213266.85
-123.3169,40.0036,38,2752,866,2360,688,7.5736,47874.03
-115.4861,36.5274,48,3030,866,1764,606,6.725,73988.65
-117.9977,33.1447,11,5613,1924,4452,1871,6.4422,135266.44
-118.287,40.7949,34,4626,856,1750,771,5.1789,28125.13
-123.6207,38.7219,24,1735,348,859,347,0.6581,14999
-121.0482,36.9192,51,2832,780,1825,708,9.2261,176842.14
-121.5584,38.2604,52,14488,2792,6046,1811,6.6154,120485.84
-116.7577,35.5303,21,1820,342,1247,455,1.1785,14999
-119.804,38.1995,38,3336,927,2024,834,9.8332,182044.98
-115.7547,41.8367,30,2528,816,1645,632,13.4895,156653.08
-117.8765,33.1936,7,10494,3179,4218,1749,11.4285,239003.58
-120.3305,37.7762,21,7427,1396,2596,1061,14.7675,224941.38
-115.2089,40.4733,40,780,170,841,260,2.5116,14999
-114.3749,40.6457,47,3768,787,2154,942,13.583,122458.0
-114.4148,41.33,4,1743,346,1987,581,1.5881,14999
-121.0435,38.306,52,4135,1235,2801,827,8.9601,184153.24
-122.8641,38.0367,27,8124,2385,3767,1354,3.9876,89615.59
-119.5516,37.1519,18,5672,1486,1515,709,11.6099,199605.65
-115.9612,34.8208,42,6220,1854,3285,1555,7.6718,118637.96
-122.2167,38.8494,30,10356,2194,3722,1726,3.5256,15546.4
-115.7311,39.6962,20,9006,2624,4910,1501,2.0321,14999
-123.0442,41.1661,25,6832,1826,3093,976,3.2253,14999
-121.2662,40.7251,42,1036,267,559,259,2.0979,14999
-124.1835,36.8766,18,648,189,289,108,4.3509,113607.26
-120.018,33.9573,33,6524,1544,2480,932,5.8618,144948.92
-123.8567,36.1395,28,2235,474,1012,447,4.5009,90460.57
-123.2538,33.0093,16,1108,221,925,277,8.8408,219034.63
-121.9528,37.5474,18,3591,1073,1337,513,6.1968,121865.56
-117.4055,37.1996,11,6636,1586,4034,1659,9.1465,190608.67
-116.9818,33.4268,33,15272,4364,5934,1909,12.8622,267229.17
-117.5083,34.1081,22,11352,2317,3820,1892,7.3817,136127.34
-120.9961,34.2104,17,5562,1162,5822,1854,0.6411,21782.88
-124.3399,40.757,31,822,262,781,274,14.861,289317.19
-115.963,37.4828,11,6384,1990,3431,1596,12.1564,162223.62
-120.8282,37.6752,43,5230,1265,2113,1046,5.6131,131178.66
-117.22,40.9278,50,9863,2587,3388,1409,8.03,64607.4
-120.2304,34.6126,10,4686,868,2238,781,10.5892,212373.62
-120.0256,34.4814,6,2676,772,1537,446,13.2186,248553.64
-119.8393,41.5577,34,2040,682,1029,408,5.3023,14999
-118.435,41.435,18,2732,510,1898,683,5.4775,14999
-119.7815,41.6503,51,3800,755,1529,760,13.9449,183145.89
-122.8728,38.9475,34,4501,1237,1442,643,7.559,155981.95
-119.7933,34.585,38,906,238,606,302,5.6077,146626.44
-115.9755,33.0096,9,3835,1202,2111,767,14.3986,222118.93
-117.1895,33.8823,47,2712,757,958,452,3.6734,64548.83
-119.5993,35.8771,52,11512,2828,3739,1439,13.6104,335633.9
-118.3557,34.1708,28,7200,2280,3180,1440,11.6311,204904.26
-121.8398,36.4575,13,3330,647,1898,666,9.6106,164633.5
-115.5557,36.6512,9,6768,2016,3108,1128,10.4349,145601.56
-120.7601,35.873,30,5466,1412,3069,911,0.8831,28005.52
-122.9385,41.0734,51,3822,1020,1196,546,8.3774,113617.13
-118.6716,35.3004,49,10680,2151,5349,1780,7.2107,157537.02
-115.9245,33.3366,18,13992,2773,5057,1749,12.4181,214584.88
-118.6729,39.0385,4,2384,666,824,298,10.8958,138889.49
-118.707,41.6421,9,4056,1171,1131,507,9.6095,53220.27
-117.1298,41.3528,52,7301,2167,2265,1043,0.5005,14999
-123.3775,34.4624,31,700,178,208,100,2.2663,87661.87
-120.2882,41.7872,16,12411,2783,5175,1773,6.8674,38453.08
-122.8817,32.7438,10,13808,4028,3894,1726,11.2541,275086.13
-118.8613,37.0207,19,5136,1011,1850,642,5.8264,82940.72
-116.3195,36.9059,28,1059,241,769,353,6.1467,109153.18
-118.5214,32.8607,42,15032,4289,3878,1879,13.6523,348090.12
-117.0904,35.1457,11,5474,1781,2154,782,5.5581,84393.67
-117.2595,36.2158,5,3256,669,1214,407,8.6656,79218.17
-122.944,39.9265,43,4020,770,2183,670,7.5143,137386.26
-114.6859,38.241,12,9832,3319,3887,1229,8.1188,96494.57
-114.7598,35.8156,40,10494,2009,3575,1749,11.1267,208667.93
-122.0237,38.8001,32,15704,4098,6163,1963,14.7293,288300.56
-121.9744,41.0071,12,9246,2852,4052,1541,1.4334,14999
-118.2065,33.6172,48,1194,369,579,199,12.6899,308609.57
-117.3348,36.0935,41,8575,1834,2913,1225,6.844,108454.21
-121.4777,34.4332,11,6566,2084,2146,938,8.9406,174931.35
